timestamp_s,frame_idx,track_id,x1,y1,x2,y2,conf
0.033,1,1,0,440,406,736,0.8054988384246826
0.033,1,2,721,522,1080,809,0.7702988982200623
0.033,1,3,1356,532,1554,688,0.6279969811439514
0.033,1,4,1588,495,1773,633,0.5368066430091858
0.067,2,2,749,522,1099,809,0.8317054510116577
0.067,2,1,5,436,432,736,0.8008624315261841
0.067,2,3,1368,520,1578,688,0.7779196500778198
0.067,2,4,1592,498,1771,631,0.5888750553131104
0.100,3,2,769,546,1115,804,0.812263548374176
0.100,3,1,42,431,457,737,0.7662606835365295
0.100,3,5,0,487,154,855,0.6494287848472595
0.100,3,3,1379,514,1578,683,0.6485228538513184
0.100,3,4,1599,495,1770,632,0.48198774456977844
0.133,4,1,78,452,484,736,0.8094632625579834
0.133,4,2,794,540,1134,803,0.7441747188568115
0.133,4,5,0,516,189,838,0.7310023307800293
0.133,4,3,1391,522,1583,685,0.6987311840057373
0.133,4,4,1603,502,1764,628,0.5374968647956848
0.167,5,1,114,489,507,728,0.8124164938926697
0.167,5,2,817,551,1149,798,0.7875518202781677
0.167,5,3,1403,516,1591,682,0.7145940661430359
0.167,5,4,1607,487,1775,628,0.5704709887504578
0.167,5,5,0,529,217,834,0.5685818195343018
0.200,6,1,153,475,533,728,0.7780871391296387
0.200,6,2,844,546,1166,795,0.7648447751998901
0.200,6,3,1410,525,1599,680,0.7508144378662109
0.200,6,5,0,615,159,979,0.6677389144897461
0.200,6,4,1614,494,1811,626,0.4805968701839447
0.234,7,2,861,546,1184,789,0.8250129818916321
0.234,7,1,185,490,557,724,0.793581485748291
0.234,7,3,1423,507,1605,678,0.6881855726242065
0.234,7,5,0,545,219,966,0.5630620718002319
0.234,7,4,1622,469,1777,622,0.551264226436615
0.267,8,2,883,556,1199,785,0.8217456340789795
0.267,8,1,218,481,584,721,0.8203237652778625
0.267,8,5,0,493,306,958,0.7490196228027344
0.267,8,3,1433,510,1613,678,0.7339814305305481
0.267,8,4,1626,477,1787,622,0.5276491641998291
0.300,9,2,906,546,1212,788,0.8482589721679688
0.300,9,5,0,504,335,946,0.7929204106330872
0.300,9,1,240,424,606,723,0.7723639011383057
0.300,9,3,1443,514,1616,675,0.7243137359619141
0.300,9,4,1629,485,1791,624,0.5473373532295227
0.334,10,2,924,556,1230,782,0.8062483668327332
0.334,10,5,0,470,381,938,0.7867951989173889
0.334,10,3,1452,516,1615,674,0.7103758454322815
0.334,10,1,266,436,629,719,0.6682750582695007
0.334,10,4,1632,502,1790,625,0.5643467903137207
0.367,11,2,944,550,1245,780,0.819847047328949
0.367,11,1,303,491,652,717,0.7817408442497253
0.367,11,3,1461,511,1624,672,0.6577144861221313
0.367,11,4,1639,493,1830,624,0.4526636004447937
0.400,12,2,962,543,1255,779,0.8626095652580261
0.400,12,1,333,431,676,717,0.6371846795082092
0.400,12,3,1472,516,1632,673,0.6331958770751953
0.400,12,4,1643,506,1802,623,0.44750821590423584
0.434,13,2,985,552,1270,776,0.8813332319259644
0.434,13,1,384,472,700,713,0.6228629350662231
0.434,13,3,1481,503,1635,671,0.6122210621833801
0.434,13,4,1643,507,1804,622,0.3587448298931122
0.467,14,2,1008,543,1284,769,0.836092472076416
0.467,14,5,0,512,563,988,0.7705962657928467
0.467,14,3,1489,506,1648,668,0.6493871212005615
0.467,14,1,419,492,719,708,0.5150487422943115
0.467,14,4,1651,504,1829,620,0.446588933467865
0.501,15,5,1,477,610,977,0.7990851998329163
0.501,15,2,1027,533,1296,766,0.7906490564346313
0.501,15,3,1498,501,1645,664,0.6509677767753601
0.501,15,1,474,485,741,703,0.465717613697052
0.534,16,2,1047,547,1305,765,0.8040233254432678
0.534,16,5,31,520,650,958,0.7617694139480591
0.534,16,3,1505,509,1655,667,0.6675345301628113
0.534,16,4,1656,513,1799,618,0.36398112773895264
0.567,17,5,81,525,688,950,0.8548864126205444
0.567,17,2,1063,543,1321,760,0.75752854347229
0.567,17,3,1513,515,1656,666,0.6593315601348877
0.567,17,4,1668,512,1809,620,0.41969162225723267
0.601,18,2,1079,541,1331,761,0.815669059753418
0.601,18,5,182,522,727,938,0.7761315107345581
0.601,18,3,1522,509,1665,664,0.6130232810974121
0.601,18,4,1669,508,1812,617,0.5093827247619629
0.634,19,2,1095,551,1344,756,0.8447179794311523
0.634,19,3,1530,525,1663,659,0.6387991309165955
0.634,19,5,125,471,766,929,0.6047495603561401
0.634,19,15,99,447,344,840,0.46877947449684143
0.667,20,2,1111,550,1353,753,0.8071341514587402
0.667,20,3,1536,524,1664,659,0.7820631265640259
